VMailMessage,DayMins,EveMins,NightMins,IntlMins,CustServCalls,DayCalls,DayCharge,EveCalls,EveCharge,NightCalls,NightCharge,IntlCalls,IntlCharge,AreaCode,Phone,AccountLength,Churn,IntlPlan,VMailPlan,State
20,187.5,169.8,175.3,12.1,1,110,31.88,94,14.43,127,7.89,4,3.27,415,328-1768,93,0,1,1,NJ
0,144,181.6,128.1,12.3,0,90,24.48,100,15.44,93,5.76,2,3.32,408,328-2110,137,0,0,0,OH
0,112.7,217.7,152.1,6.5,1,119,19.16,109,18.5,76,6.84,5,1.76,415,328-2236,97,0,0,0,VT
0,229.3,184.5,168.2,8.8,2,93,38.98,111,15.68,91,7.57,3,2.38,510,328-2478,116,0,0,0,ME
0,203.5,289.6,212.9,8.7,3,89,34.6,69,24.62,71,9.58,3,2.35,510,328-2647,81,0,0,0,IA
0,69.4,190.8,219.9,8.9,0,79,11.8,109,16.22,102,9.9,5,2.4,415,328-2982,95,0,0,0,AR
0,239.8,214.8,143.3,8.7,2,125,40.77,111,18.26,81,6.45,5,2.35,408,328-3266,97,0,0,0,ID
0,191.6,205.6,210.2,9.2,2,115,32.57,108,17.48,123,9.46,3,2.48,408,328-3402,125,0,0,0,KY
31,191.8,267.8,200.5,12.8,2,75,32.61,135,22.76,62,9.02,3,3.46,510,328-4231,60,0,0,1,NY
0,243.1,231.4,180.9,7.8,2,105,41.33,108,19.67,120,8.14,4,2.11,510,328-5050,58,0,0,0,GA
0,287.4,259.6,153.2,10,1,118,48.86,84,22.07,86,6.89,3,2.7,415,328-5188,117,1,1,0,GA
0,234.4,279.3,234.2,2,1,103,39.85,109,23.74,121,10.54,2,0.54,415,328-6011,94,1,0,0,OR
23,157.6,247,259.2,13.7,0,129,26.79,96,21,112,11.66,2,3.7,510,328-6289,139,0,0,1,VA
0,151.4,186.4,172.5,10.9,0,89,25.74,76,15.84,120,7.76,3,2.94,415,328-6770,93,0,0,0,FL
20,198.9,274,190.7,14.3,1,77,33.81,88,23.29,76,8.58,9,3.86,415,328-7209,149,0,0,1,LA
0,185.9,212,282.3,11.3,3,95,31.6,98,18.02,81,12.7,4,3.05,408,328-7252,77,0,0,0,IN
0,227.1,120.5,117,4.7,5,116,38.61,103,10.24,102,5.27,4,1.27,415,328-7833,98,1,0,0,AR
27,153.5,194,256.5,10.2,5,84,26.1,73,16.49,94,11.54,7,2.75,510,328-8147,120,0,0,1,CO
27,156.7,236.5,123.2,12.6,2,51,26.64,118,20.1,111,5.54,6,3.4,408,328-8179,90,0,0,1,TX
0,180.8,288.8,191.9,14.1,2,109,30.74,58,24.55,91,8.64,6,3.81,510,328-8230,28,0,0,0,RI
0,135.2,242,246.9,10.2,2,98,22.98,107,20.57,96,11.11,2,2.75,415,328-8747,162,0,0,0,OH
0,137,217,182.1,10,2,128,23.29,116,18.45,86,8.19,5,2.7,415,328-8808,109,0,0,0,WY
0,239.9,261.6,207.1,8.9,2,120,40.78,88,22.24,88,9.32,4,2.4,510,328-8980,37,1,0,0,CA
0,139.2,191.4,286.5,11.8,3,140,23.66,113,16.27,125,12.89,3,3.19,408,328-9006,78,0,0,0,DE
32,90,276.3,185.2,8.6,2,87,15.3,113,23.49,107,8.33,6,2.32,408,328-9267,97,1,0,1,NH
35,230.5,265.8,269.7,10.6,5,116,39.19,130,22.59,69,12.14,6,2.86,510,328-9315,109,0,0,1,GA
0,261.8,245,202.1,14.7,0,69,44.51,135,20.83,94,9.09,4,3.97,510,328-9797,63,1,0,0,WV
0,162.3,213.7,192.1,10.9,0,88,27.59,118,18.16,81,8.64,2,2.94,408,328-9869,194,0,0,0,OK
30,262.8,215.8,154.8,7.8,0,114,44.68,130,18.34,88,6.97,2,2.11,408,329-1410,87,0,0,1,PA
0,293,160.6,143.9,10,2,88,49.81,101,13.65,87,6.48,6,2.7,510,329-1955,108,0,0,0,IN
0,144,224.7,227.7,10,1,102,24.48,73,19.1,91,10.25,7,2.7,408,329-2045,96,0,0,0,WY
33,179.1,238.3,165.7,10.6,2,93,30.45,102,20.26,96,7.46,1,2.86,415,329-2204,99,0,0,1,SC
0,144.2,212.2,169.3,9.5,0,87,24.51,74,18.04,87,7.62,4,2.57,510,329-2388,122,0,0,0,MI
0,194.2,249.4,254.9,12.9,1,106,33.01,105,21.2,129,11.47,1,3.48,510,329-2786,161,1,1,0,UT
0,226.3,223,255.6,13,4,88,38.47,107,18.96,92,11.5,3,3.51,408,329-2789,86,0,0,0,MD
0,149.8,276.3,241.4,10.9,2,123,25.47,75,23.49,75,10.86,7,2.94,510,329-2918,80,0,0,0,MA
29,117.8,256.8,147.6,7.6,3,66,20.03,114,21.83,76,6.64,3,2.05,415,329-3222,119,0,0,1,RI
39,91.5,219.9,229,12.7,2,125,15.56,113,18.69,99,10.31,8,3.43,415,329-3458,118,0,0,1,ND
0,170.9,132.3,112.9,11.6,1,124,29.05,95,11.25,89,5.08,3,3.13,415,329-4391,193,0,0,0,MS
19,175.3,241.3,211.4,7.8,0,96,29.8,146,20.51,109,9.51,2,2.11,415,329-4474,137,0,0,1,KS
0,257.9,211.6,189.3,9.4,2,92,43.84,71,17.99,104,8.52,2,2.54,408,329-5114,123,0,0,0,TX
0,102.7,149.3,188.1,11,0,89,17.46,100,12.69,114,8.46,5,2.97,415,329-5377,74,0,0,0,NC
30,230.1,287.6,177.1,6.9,2,108,39.12,76,24.45,85,7.97,3,1.86,510,329-5400,122,0,0,1,NC
0,154.5,216.2,229.8,13.7,1,84,26.27,91,18.38,82,10.34,3,3.7,510,329-6144,81,0,0,0,UT
37,239.8,221.9,189.1,7.3,2,110,40.77,115,18.86,100,8.51,1,1.97,408,329-6191,41,0,0,1,DC
40,141.7,268.3,241.3,8.5,0,87,24.09,89,22.81,68,10.86,7,2.3,408,329-6192,66,0,0,1,CO
0,170.5,118.2,187.9,11.2,2,87,28.99,116,10.05,111,8.46,7,3.02,415,329-6562,138,0,0,0,DC
0,129.1,228.5,208.8,12.7,4,137,21.95,83,19.42,111,9.4,6,3.43,415,329-6603,65,1,0,0,IN
0,123.2,190,170.3,12.9,4,104,20.94,117,16.15,95,7.66,5,3.48,415,329-6731,123,1,0,0,NY
0,132.9,67,160.4,9.9,3,122,22.59,62,5.7,121,7.22,2,2.67,510,329-7102,63,0,0,0,WV
0,170.4,350.5,297,11.2,0,108,28.97,68,29.79,87,13.37,3,3.02,408,329-7347,121,1,0,0,RI
23,160.3,202.4,191.1,7.4,0,87,27.25,101,17.2,122,8.6,3,2,415,329-8056,95,0,0,1,OH
16,145.7,191,215.5,11.3,0,88,24.77,129,16.24,82,9.7,7,3.05,408,329-8115,86,0,0,1,AR
0,97.5,268.1,255.3,13.2,3,113,16.58,69,22.79,62,11.49,4,3.56,415,329-8436,160,0,0,0,MT
22,124.5,231.7,222.2,6.4,1,94,21.17,90,19.69,108,10,12,1.73,415,329-8638,90,0,0,1,ND
0,237.7,181.5,185.7,7.7,1,122,40.41,91,15.43,151,8.36,4,2.08,510,329-8669,156,0,0,0,IN
0,235.6,115.9,185.4,16.2,0,132,40.05,129,9.85,136,8.34,2,4.37,415,329-8788,24,0,0,0,HI
0,157,103.1,211.8,7.1,0,79,26.69,94,8.76,96,9.53,6,1.92,415,329-9001,147,0,1,0,MO
0,148.5,146.5,289.2,9.9,3,111,25.25,42,12.45,83,13.01,6,2.67,510,329-9046,74,0,0,0,AR
0,249.8,242.4,231.8,11.6,0,109,42.47,106,20.6,78,10.43,4,3.13,408,329-9067,111,1,0,0,CA
0,202,243.2,261.3,10.9,1,102,34.34,128,20.67,90,11.76,3,2.94,415,329-9364,148,0,0,0,DC
27,165,127.3,284.4,7.7,2,89,28.05,118,10.82,95,12.8,4,2.08,415,329-9517,47,0,0,1,WA
0,251.3,252.5,118.3,9.9,3,69,42.72,96,21.46,112,5.32,1,2.67,510,329-9667,115,1,1,0,NC
0,224.2,243.3,147.8,12,3,81,38.11,90,20.68,66,6.65,8,3.24,510,329-9689,102,0,1,0,MS
0,251.5,212.8,157.8,9.3,0,105,42.76,104,18.09,67,7.1,4,2.51,415,329-9847,43,0,1,0,WY
33,81.6,235.6,150.9,9.9,1,120,13.87,85,20.03,113,6.79,4,2.67,510,330-1175,106,0,0,1,CT
33,125,235.3,215.3,10.2,2,99,21.25,81,20,95,9.69,7,2.75,415,330-1627,87,0,0,1,SD
0,171.7,110.4,195.4,11.9,2,80,29.19,81,9.38,111,8.79,4,3.21,415,330-1835,67,0,0,0,MD
0,115,122.3,245,6.4,0,65,19.55,96,10.4,75,11.03,1,1.73,510,330-2635,57,1,1,0,NJ
27,283.4,224.1,241.3,14.4,2,104,48.18,152,19.05,63,10.86,7,3.89,510,330-2662,107,0,0,1,VA
0,161.9,200.9,134,10.7,1,138,27.52,114,17.08,134,6.03,4,2.89,415,330-2693,112,0,1,0,WV
0,241.9,129.4,264.8,5.9,1,101,41.12,121,11,104,11.92,3,1.59,415,330-2849,43,0,0,0,LA
27,261.3,220.9,179.4,11.3,1,96,44.42,101,18.78,97,8.07,2,3.05,415,330-2881,96,0,0,1,MN
0,220,207.7,168.4,12.1,2,114,37.4,76,17.65,137,7.58,3,3.27,415,330-3008,80,0,0,0,KY
0,116.7,213.8,214.3,9.7,2,92,19.84,112,18.17,112,9.64,6,2.62,415,330-3429,183,0,0,0,NV
0,174.4,156.3,136.5,10.2,0,120,29.65,98,13.29,121,6.14,5,2.75,408,330-3589,137,0,0,0,WV
0,132.4,200.3,202.5,6,2,81,22.51,110,17.03,103,9.11,1,1.62,510,330-4364,130,0,0,0,DC
0,157.1,162.6,150,12.1,1,79,26.71,124,13.82,138,6.75,6,3.27,415,330-4419,107,0,0,0,KY
0,52.2,220.1,112.3,11.4,2,106,8.87,113,18.71,95,5.05,2,3.08,408,330-4914,106,0,0,0,SC
0,268.7,301,167,5.8,2,120,45.68,147,25.59,140,7.52,1,1.57,415,330-4978,80,1,0,0,NJ
49,214.9,198.2,170.8,8.2,0,86,36.53,89,16.85,139,7.69,5,2.21,510,330-5168,63,0,0,1,AR
0,130.5,131.2,264.7,13,0,77,22.19,117,11.15,63,11.91,6,3.51,415,330-5255,104,0,0,0,KY
0,103,242.3,170.2,7.9,1,129,17.51,103,20.6,89,7.66,3,2.13,415,330-5462,108,0,0,0,AK
0,258,246.5,173.2,10.9,0,112,43.86,117,20.95,100,7.79,3,2.94,408,330-5824,137,1,1,0,MT
0,95.4,207.2,136,5.6,1,105,16.22,101,17.61,117,6.12,5,1.51,408,330-6165,99,0,0,0,CT
0,150,89.8,326,11.1,3,98,25.5,95,7.63,91,14.67,3,3,415,330-6208,123,0,0,0,NE
31,302.7,240.5,193.9,13.6,3,93,51.46,119,20.44,103,8.73,14,3.67,408,330-6436,50,0,0,1,TX
0,166.7,148.3,186.9,10.1,3,113,28.34,122,12.61,121,8.41,3,2.73,415,330-6626,75,0,1,0,OK
0,207.7,164.8,54.5,7.9,0,109,35.31,94,14.01,91,2.45,3,2.13,415,330-6630,165,0,0,0,NC
0,186.1,198.6,206.5,13.8,4,114,31.64,140,16.88,80,9.29,5,3.73,510,330-7137,71,1,1,0,IL
0,176.3,259.2,287.4,6.2,0,79,29.97,97,22.03,78,12.93,3,1.67,510,330-7483,86,0,0,0,MA
0,138.9,208.9,232.4,9.2,2,65,23.61,109,17.76,82,10.46,3,2.48,415,330-7486,67,0,0,0,VA
0,145,175.8,223.7,16.7,2,89,24.65,102,14.94,151,10.07,3,4.51,415,330-7754,91,1,1,0,KY
0,144,135.8,212.4,13,1,90,24.48,91,11.54,129,9.56,4,3.51,415,330-8142,79,0,0,0,TX
37,258.6,222,326.4,11.2,0,84,43.96,111,18.87,97,14.69,5,3.02,415,330-8173,141,0,1,1,WV
0,183,206.7,203.8,11.1,1,110,31.11,93,17.57,119,9.17,6,3,415,330-8351,60,0,1,0,CA
27,190.3,249,215.7,10.6,1,93,32.35,127,21.17,82,9.71,4,2.86,415,330-9294,181,0,0,1,AL
0,249.9,254.5,273.2,8.9,2,127,42.48,118,21.63,98,12.29,6,2.4,510,330-9354,68,1,0,0,IN
0,198.3,217.1,188.4,12.5,0,130,33.71,86,18.45,96,8.48,3,3.38,510,330-9833,76,0,0,0,IA
0,242.5,245.4,219.6,10,3,83,41.23,97,20.86,80,9.88,3,2.7,415,331-1391,149,1,0,0,OR
26,208,185,177.7,8.1,1,115,35.36,113,15.73,144,8,9,2.19,408,331-2144,1,0,0,1,IA
39,69.1,101.3,104.8,9.1,0,122,11.75,136,8.61,94,4.72,4,2.46,415,331-3174,131,0,0,1,WI
0,213.9,239.8,148.7,9.8,2,88,36.36,119,20.38,71,6.69,14,2.65,415,331-3202,33,0,0,0,WY
0,124.3,277.1,250.7,15.5,3,76,21.13,112,23.55,115,11.28,5,4.19,415,331-3698,174,0,0,0,NE
0,153.6,205.5,114.5,12.5,1,92,26.11,88,17.47,89,5.15,10,3.38,510,331-3842,59,0,0,0,CO
0,238,164.5,282.5,10.6,2,97,40.46,97,13.98,132,12.71,6,2.86,415,331-4184,87,0,0,0,WI
0,203.7,216.4,154.2,7.6,2,92,34.63,97,18.39,66,6.94,5,2.05,510,331-4807,80,0,0,0,OR
36,214.2,161.7,264.7,9.5,3,115,36.41,117,13.74,102,11.91,4,2.57,408,331-4902,131,0,0,1,NE
0,110.3,166.5,202.3,9.5,0,107,18.75,93,14.15,96,9.1,5,2.57,408,331-5138,22,0,0,0,SC
0,137.2,165.9,182.3,14.3,1,111,23.32,119,14.1,72,8.2,4,3.86,415,331-5919,56,0,0,0,MO
47,274.9,186.6,245,8.8,1,102,46.73,118,15.86,123,11.03,2,2.38,408,331-5962,172,0,0,1,NC
36,192.8,177,216.5,16.4,1,103,32.78,83,15.05,118,9.74,5,4.43,510,331-5999,129,0,0,1,OR
28,214.4,235.2,206.2,8,3,78,36.45,100,19.99,107,9.28,13,2.16,415,331-6229,49,0,0,1,AL
0,118,248.1,214.4,5.3,1,133,20.06,99,21.09,122,9.65,5,1.43,510,331-6270,66,0,0,0,ME
0,169.3,217.9,184.2,9.4,1,82,28.78,147,18.52,77,8.29,9,2.54,510,331-6629,138,0,1,0,IL
8,222.5,171.5,377.5,9.7,1,104,37.83,94,14.58,114,16.99,2,2.62,510,331-7342,55,0,0,1,ID
0,215.4,204.8,278.5,12.6,3,104,36.62,79,17.41,109,12.53,5,3.4,415,331-7425,116,0,1,0,OR
0,96,177,162.2,9.7,3,117,16.32,68,15.05,127,7.3,4,2.62,510,331-8462,127,0,0,0,RI
39,82.6,224.4,163.6,9.5,3,113,14.04,63,19.07,88,7.36,1,2.57,510,331-8484,87,0,0,1,NV
0,135.8,163.2,229.8,12.6,0,125,23.09,88,13.87,106,10.34,3,3.4,408,331-8713,43,0,0,0,VT
35,68.7,209.2,197.4,11.4,1,95,11.68,69,17.78,42,8.88,4,3.08,408,331-8909,121,0,0,1,AL
0,196,186,153,9.8,3,135,33.32,146,15.81,92,6.89,1,2.65,510,331-9149,139,0,0,0,SD
0,155.7,173.7,257.4,8.1,0,116,26.47,63,14.76,97,11.58,4,2.19,415,331-9293,74,0,0,0,MD
26,153.7,137.8,213.5,15.9,1,115,26.13,146,11.71,104,9.61,5,4.29,415,331-9861,100,0,0,1,AZ
0,143.6,152.4,194.4,8.6,1,117,24.41,108,12.95,110,8.75,3,2.32,415,332-1060,41,0,0,0,SC
0,191.4,168.5,109.3,10.3,1,114,32.54,138,14.32,99,4.92,3,2.78,415,332-1109,173,0,0,0,WV
0,97.6,105.5,220.2,11.6,1,98,16.59,118,8.97,105,9.91,9,3.13,415,332-1494,96,0,0,0,MT
0,90.4,276.2,146.5,12.7,1,108,15.37,77,23.48,111,6.59,2,3.43,510,332-1502,46,0,0,0,WA
0,192.6,178.9,214.6,9.4,1,102,32.74,118,15.21,74,9.66,4,2.54,408,332-1690,110,0,0,0,UT
0,163.1,249.4,168.2,9,1,119,27.73,51,21.2,77,7.57,10,2.43,415,332-2126,123,0,0,0,KS
0,105.8,43.9,189.6,13.1,0,110,17.99,88,3.73,87,8.53,5,3.54,415,332-2137,80,0,0,0,MN
38,123,133.9,138.2,13.3,1,158,20.91,119,11.38,103,6.22,4,3.59,415,332-2258,86,0,0,1,WV
0,185,232.5,191.1,14.9,3,84,31.45,129,19.76,82,8.6,4,4.02,510,332-2275,71,0,0,0,AK
0,60.4,306.2,123.9,12.4,1,158,10.27,120,26.03,46,5.58,3,3.35,408,332-2462,39,0,0,0,MA
0,103.5,117.9,201,12,4,115,17.6,102,10.02,94,9.05,3,3.24,415,332-2650,78,1,0,0,ID
0,167.8,211,153.5,10.5,4,72,28.53,99,17.94,109,6.91,6,2.84,408,332-2889,143,1,0,0,RI
0,159.8,120.4,163,10.6,2,91,27.17,86,10.23,93,7.34,3,2.86,510,332-2965,45,0,0,0,IA
0,87.6,266.9,214.6,9.8,2,112,14.89,107,22.69,104,9.66,10,2.65,415,332-3381,138,0,0,0,AZ
30,196.6,241.4,226,12.9,2,93,33.42,140,20.52,118,10.17,4,3.48,415,332-3544,47,0,0,1,TN
0,181.5,187,220.3,10.5,1,116,30.86,119,15.9,96,9.91,7,2.84,415,332-3617,88,0,0,0,TN
0,131.8,284.3,305.5,11.3,1,82,22.41,119,24.17,101,13.75,2,3.05,415,332-3642,124,0,0,0,CT
0,124.3,173.4,256.3,7.5,3,91,21.13,105,14.74,109,11.53,5,2.03,415,332-3693,87,0,0,0,WV
0,86.8,108.1,204.3,13.2,1,95,14.76,85,9.19,87,9.19,3,3.56,408,332-3804,107,0,0,0,AL
0,136.1,204.2,228.2,11.3,1,120,23.14,103,17.36,90,10.27,4,3.05,415,332-4289,118,0,0,0,IA
0,152.4,274.6,252.2,6.6,3,74,25.91,88,23.34,120,11.35,5,1.78,408,332-4291,93,0,0,0,NE
0,176.9,102.8,213.7,10.5,4,128,30.07,56,8.74,84,9.62,2,2.84,510,332-5084,111,1,0,0,NJ
0,157.1,184.9,197.2,8.5,4,134,26.71,122,15.72,59,8.87,5,2.3,510,332-5521,122,1,0,0,DE
0,91.9,198.4,171.7,13,2,109,15.62,111,16.86,125,7.73,7,3.51,415,332-5582,21,0,0,0,WV
0,103.3,129.1,167.1,10.7,0,110,17.56,82,10.97,113,7.52,3,2.89,415,332-5596,121,0,0,0,WV
0,224.2,314.9,182.9,16.1,1,89,38.11,121,26.77,121,8.23,3,4.35,415,332-5820,145,1,0,0,AR
0,257.4,261.1,204.4,13.4,2,67,43.76,91,22.19,107,9.2,5,3.62,408,332-5949,46,1,0,0,NJ
0,146.1,196.2,310.1,9.2,0,57,24.84,97,16.68,110,13.95,3,2.48,408,332-5964,56,0,0,0,NM
41,146.8,285.6,213.6,4.3,1,128,24.96,96,24.28,80,9.61,2,1.16,510,332-6139,152,1,1,1,WV
0,334.3,192.1,191,10.4,0,118,56.83,104,16.33,83,8.59,6,2.81,510,332-6181,129,1,0,0,DE
40,142.9,88.6,290,10.8,1,105,24.29,61,7.53,96,13.05,6,2.92,415,332-6633,134,0,0,1,AZ
0,149.7,182.2,261.5,9.7,0,119,25.45,115,15.49,126,11.77,8,2.62,415,332-6934,78,0,0,0,TN
0,105.9,189.6,170.9,12.7,0,151,18,142,16.12,67,7.69,7,3.43,408,332-6958,89,0,0,0,NC
0,242.6,209,219.7,14.4,2,69,41.24,117,17.77,82,9.89,6,3.89,510,332-7391,25,0,0,0,ME
35,161.9,151.2,191,8.5,1,85,27.52,82,12.85,131,8.59,2,2.3,510,332-7607,33,0,0,1,MT
31,273,215.5,104.7,9.6,1,78,46.41,98,18.32,114,4.71,2,2.59,408,332-8103,91,0,0,1,OK
28,180.7,187.8,265.5,12.6,3,92,30.72,64,15.96,53,11.95,3,3.4,408,332-8160,149,0,0,1,SD
0,202.4,260.2,177.4,9.2,3,118,34.41,67,22.12,112,7.98,5,2.48,510,332-8764,80,0,0,0,RI
42,209.2,159.7,181.6,9.5,0,82,35.56,74,13.57,100,8.17,3,2.57,415,332-9118,101,0,0,1,IN
0,154,205.9,233.7,12.9,1,95,26.18,106,17.5,75,10.52,1,3.48,510,332-9446,130,0,0,0,KS
0,176.2,145,249.5,5.7,0,87,29.95,81,12.33,92,11.23,4,1.54,415,332-9460,149,0,1,0,OR
31,166.4,238.3,150.7,10.7,4,92,28.29,74,20.26,84,6.78,4,2.89,408,332-9525,80,0,0,1,ME
0,140.4,271.8,188.3,11.1,1,94,23.87,92,23.1,108,8.47,9,3,408,332-9891,149,0,0,0,NJ
0,211.2,252.7,225.8,12.3,0,70,35.9,122,21.48,104,10.16,3,3.32,415,332-9896,71,0,0,0,CO
41,171.6,136.1,183.4,10.8,0,110,29.17,78,11.57,103,8.25,7,2.92,415,333-1012,108,0,0,1,NJ
0,170.2,155.2,228.6,15,1,98,28.93,102,13.19,76,10.29,2,4.05,408,333-1967,70,0,0,0,MD
0,188.5,148.3,179.8,15.2,2,152,32.05,115,12.61,88,8.09,5,4.1,415,333-2337,100,0,0,0,AZ
0,194.1,176.6,302.8,7,2,121,33,110,15.01,136,13.63,7,1.89,415,333-2611,55,0,0,0,WA
0,245.8,264.7,111.7,11.2,0,102,41.79,90,22.5,103,5.03,7,3.02,510,333-2906,133,0,0,0,DE
0,136.2,165.1,137.9,9.6,0,114,23.15,118,14.03,71,6.21,5,2.59,408,333-2964,94,0,0,0,AR
36,168,163.2,172.7,8,6,81,28.56,125,13.87,120,7.77,2,2.16,415,333-3010,98,1,0,1,KY
0,214.3,268.5,241.2,10.8,1,145,36.43,135,22.82,92,10.85,13,2.92,415,333-3221,73,0,0,0,NM
0,149.8,180,140,11.7,2,112,25.47,93,15.3,119,6.3,4,3.16,408,333-3421,110,0,0,0,OR
25,246.6,141.4,189.8,13,1,94,41.92,112,12.02,109,8.54,5,3.51,408,333-3447,100,0,0,1,AL
0,198.8,195.5,213.3,16.5,5,107,33.8,91,16.62,120,9.6,7,4.46,510,333-3460,159,0,0,0,OK
0,176.2,196,263.9,9.2,1,90,29.95,115,16.66,95,11.88,4,2.48,415,333-3531,160,0,0,0,NV
0,176.1,199.7,263.9,8.5,2,103,29.94,130,16.97,96,11.88,6,2.3,415,333-3595,93,0,0,0,SD
0,245.2,159,229.9,7.2,0,105,41.68,109,13.52,74,10.35,8,1.94,415,333-3704,115,0,0,0,AK
0,202.3,201.5,101.7,6.8,0,87,34.39,111,17.13,82,4.58,4,1.84,408,333-4154,83,0,0,0,AL
0,190.9,161.4,231.9,8.4,1,44,32.45,109,13.72,100,10.44,2,2.27,415,333-4492,135,0,0,0,HI
29,201.3,203.7,129.9,6.4,1,130,34.22,115,17.31,113,5.85,6,1.73,415,333-4594,92,1,0,1,ID
0,120.3,240.4,216.4,7.7,4,108,20.45,84,20.43,74,9.74,3,2.08,415,333-5101,140,1,0,0,OR
31,278,253.2,223.2,8.7,0,88,47.26,65,21.52,114,10.04,4,2.35,415,333-5295,126,0,0,1,AK
31,121,218.9,226.7,12,1,105,20.57,98,18.61,110,10.2,1,3.24,415,333-5430,98,0,0,1,GA
0,152.1,121,198,9.8,0,95,25.86,105,10.29,126,8.91,5,2.65,408,333-5551,166,0,0,0,MN
24,155.2,244.5,122.4,10.7,1,131,26.38,106,20.78,68,5.51,3,2.89,415,333-5609,82,0,0,1,PA
0,163.4,240.1,164,11.6,2,134,27.78,87,20.41,147,7.38,2,3.13,408,333-5729,168,1,0,0,NY
0,216.1,197.5,217.8,9.8,1,114,36.74,107,16.79,104,9.8,3,2.65,415,333-6296,84,0,0,0,MN
0,193.3,169,225.2,11.8,0,106,32.86,150,14.37,122,10.13,4,3.19,510,333-6575,194,0,0,0,GA
0,190.2,157.1,181.5,14,0,119,32.33,70,13.35,120,8.17,6,3.78,408,333-7225,95,0,0,0,AL
0,17.6,161.7,203.1,10.6,1,121,2.99,125,13.74,82,9.14,6,2.86,408,333-7449,148,0,0,0,NH
26,226.4,234.7,133.6,10.8,1,117,38.49,97,19.95,82,6.01,7,2.92,510,333-7460,83,0,0,1,MI
0,322.3,222,162.8,6.7,0,113,54.79,95,18.87,123,7.33,8,1.81,408,333-7631,80,1,0,0,ME
0,117.3,201.1,107.9,12.2,1,114,19.94,61,17.09,82,4.86,3,3.29,415,333-7637,75,0,0,0,GA
0,260.2,179.2,135,7.2,3,131,44.23,120,15.23,119,6.08,8,1.94,415,333-7749,141,0,0,0,VA
0,142.5,231.4,131.2,10,2,82,24.23,110,19.67,67,5.9,4,2.7,408,333-7869,169,0,0,0,NC
0,276.2,165.8,151.6,2.2,3,95,46.95,119,14.09,79,6.82,4,0.59,415,333-7961,157,0,0,0,HI
0,235.5,257.2,103.1,11.5,2,81,40.04,130,21.86,111,4.64,4,3.11,415,333-8180,140,0,0,0,NY
